des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta
0.41245432707049134,0.42012038431409343,0.09131744134083242,0.9716833470372089,0.4494955988165354,0.019863911529086398,-1.2782762317939669,0.2838784875757824,-0.0586744790426649,-1.6017190258654401,-0.4252177250549114,1.5946843842488132
0.4146592801398404,0.42032155146784034,0.0906679593159101,0.9738965314752208,0.4495396403657903,0.01992810612564666,-1.2783105448951417,0.2838727869130505,-0.05888967679675587,-1.6023930920634348,-0.42528294434807845,1.5947383484709905
0.4168664756368249,0.42052148398174927,0.0900238593452416,0.9761118403614445,0.44958386574971887,0.019991802146398285,-1.2782817604946715,0.2838844969983204,-0.05889380903185373,-1.6025485396935684,-0.4253034997795714,1.5947792193305037
0.4190758986651181,0.4207201896929065,0.08938509291518981,0.9783292604496411,0.44962827390320415,0.02005502961382355,-1.2787634943628965,0.2835134863785681,-0.05892427251522238,-1.6018072365559,-0.42522342315809636,1.59464509371778
0.4212875343175262,0.42091767638992805,0.08875161193850944,0.9805487784564304,0.44967286382115457,0.020117818305130264,-1.278281890148216,0.2838147191299698,-0.05913403595381233,-1.6012617691854727,-0.42514895653039714,1.5945673028774603
0.42350136767595437,0.42111395181306566,0.08812336874324611,0.9827703810616498,0.44971763455831304,0.02018019776089197,-1.2785290960243372,0.2838061865109875,-0.058057470633024806,-1.6026450325832764,-0.42529764140121296,1.5946038466990224
0.42571738381138435,0.42130902365443096,0.08750031607126996,0.9849940549087266,0.44976258522895535,0.02024219728580423,-1.2787099469958567,0.2832512284136914,-0.059979676484790086,-1.6020886142365474,-0.4252729445802561,1.5948754094118665
0.42793556778384845,0.4215028995581206,0.08688240708118089,0.9872197866050333,0.44980771500668215,0.020303845944170007,-1.278273693915825,0.2838332233561663,-0.05920296982547758,-1.6024650960310254,-0.42530171615846013,1.5948556035779096
0.43015590464240583,0.421695587120461,0.08626959533177958,0.98944756272225,0.449853023124093,0.02036517257570125,-1.278682794176653,0.28333077914015303,-0.059736027869346744,-1.602048103050547,-0.4252628872323537,1.5948960933851877
0.43237837942513035,0.42188709389004225,0.08566183478941536,0.9916773697967125,0.4498985088726722,0.020426205785496254,-1.2782206498525512,0.2839039748074539,-0.058474886165970526,-1.602254252946608,-0.4252871747966608,1.5948140044134522
